Item No,Code,Description,Unit,Qty,Rate_INR,Amount_INR
2.04,CPWD 4.1.8,PCC 1:1.5:3 (M25) in raft foundation incl shuttering/curing,cum,1240,7850,9734000
2.11,CSI 03 30 00,RCC M40 in columns & shear walls,cum,860.5,9420,8105910
2.14,CSI 03 30 00,"RCC M30 in transformer-yard raft, footings & plinths (severe exposure)",cum,540,8650,4671000
2.18,-,TMT Fe-550D reinforcement cut/bent/placed,MT,312,78500,24492000
7.12,CSI 07 41 13,"Insulated roof cladding system, cyclonic-rated fasteners",sqm,9600,2150,20640000
9.06,CSI 09 65 00,Anti-static raised access floor 600x600 1250kg point load 900mm FFH,sqm,4800,6250,30000000
15.41,CSI 23 65 00,CRAH unit 150kW sensible EC fans (N+1) supply/install/test,nos,24,2850000,68400000
16.19,CSI 26 32 13,DRUPS 2.5MW (2N) incl commissioning,nos,4,62000000,248000000
16.24,CSI 26 24 13,"LV switchgear 415V Form-4b, 4000A, 50kA/1s",nos,8,9650000,77200000
16.31,CSI 26 25 00,Sandwich busway 4000A incl tap-off & fittings,RM,640,42500,27200000
