Submittal No,Rev,Title,Spec Section,Discipline,Type,Contractor,Date Submitted,Status,Days in Review
DC1-02-DBR-0001-R2,R2,Structural Design Basis Report,03 30 00,Structural,PD,L&T Construction,2026-03-02,A – Approved,9
DC1-02-SD-0142-R1,R1,Foundation shop drawing — footing F-12 transformer yard,03 30 00,Structural,SD,L&T Construction,2026-04-18,C – Revise & Resubmit,14
DC1-02-MOS-0210-R0,R0,Method statement — concrete mix for severe-exposure raft,03 31 00,Structural,MOS,L&T Construction,2026-04-22,C – Revise & Resubmit,11
DC1-02-SD-0156-R0,R0,Reinforcement detailing — column C-08,03 21 00,Structural,SD,L&T Construction,2026-04-25,Pending,6
DC1-02-MAT-0044-R1,R1,TMT Fe-550D reinforcement — mill test certificates,03 21 00,Structural,MAT,L&T Construction,2026-03-28,A – Approved,7
DC1-09-SD-0508-R0,R0,Anti-static raised access floor — layout & point-load calc,09 65 00,Architecture,SD,Tata Projects,2026-05-10,B – Approved as Noted,8
DC1-15-PD-0712-R1,R1,CRAH unit 150kW EC-fan (N+1) — product data & psychrometrics,23 65 00,Mechanical,PD,Voltas Ltd,2026-05-14,B – Approved as Noted,10
DC1-16-PD-0905-R0,R0,DRUPS 2.5MW (2N) — product data & single-line,26 32 13,Electrical,PD,Sterling & Wilson,2026-05-18,Pending,12
DC1-16-SD-0931-R0,R0,LV switchgear 415V Form-4b — GA & busway routing,26 24 13,Electrical,SD,Sterling & Wilson,2026-05-21,C – Revise & Resubmit,13
DC1-01-SD-0301-R0,R0,Roof cladding — design wind pressure & fastener schedule,07 41 13,Architecture,SD,Tata Projects,2026-05-06,B – Approved as Noted,9
DC1-21-MAT-0120-R0,R0,Fire-stopping system — material data & UL listing,07 84 00,Fire,MAT,Tata Projects,2026-05-24,A – Approved,5
DC1-16-SMP-0140-R0,R0,Busway 4000A sandwich — sample & type-test report,26 25 00,Electrical,SMP,Sterling & Wilson,2026-05-27,Pending,4
