RFI No,Date,Discipline,Subject,Question,Ref,Status,Cost Impact,Schedule Impact (days)
RFI-CIV-061,2026-02-11,Civil/Structural,M30 vs M35 for severe exposure raft,Design basis lists M30 for the severe-exposure raft; should we upgrade to M35 to improve chloride resistance at the coastal site?,DBR-0001 Note 4 / IS456 8.2.4.1,Closed,"INR 12,40,000",0
RFI-CIV-072,2026-04-26,Civil/Structural,M25 vs M30 for marine/transformer-yard RCC,Note 7 of the design basis specifies M25 for marine/transformer-yard RCC. IS 456 Cl 8.2.8 requires RCC in/near sea-water to be at least M30. Please confirm grade for footing F-12 and the transformer-yard raft before casting.,DBR-0001 Note 7 / IS456 8.2.8 / SUB-0142,Open,TBC,0
RFI-CIV-073,2026-04-20,Civil/Structural,Nominal cover to footing F-12,Shop drawing SUB-0142 shows 30 mm nominal cover to footing F-12. Confirm required cover for footings in severe coastal exposure.,SUB-0142 / IS456 26.4.2.2,Open,TBC,0
RFI-CIV-074,2026-04-23,Civil/Structural,w/c ratio for severe-exposure concrete,MOS-0210 states free w/c ratio 0.55 for the severe-exposure raft. Please confirm the maximum permissible w/c ratio for severe exposure per Table 5.,MOS-0210 / IS456 8.2.4.1,Open,TBC,0
RFI-STR-068,2026-04-28,Civil/Structural,Importance factor for data-centre buildings,"Design basis adopts seismic Importance Factor I = 1.0. Given the Tier-III lifeline nature of the facility, should I = 1.5 be adopted per IS 1893 Pt1 Table 8?",DBR-0001 Note 11 / IS1893 7.2.3,Open,TBC,0
RFI-CIV-055,2026-02-02,Civil/Structural,Net safe bearing capacity confirmation,Confirm net SBC of 180 kN/m2 at founding level against the geotechnical report.,DBR-0001 Note 10,Closed,Nil,0
RFI-ARC-031,2026-05-08,Architecture,Raised floor finished floor height,Confirm FFH of 900 mm for the anti-static raised access floor in white space.,SUB-0508,Answered,Nil,0
RFI-MEP-090,2026-05-15,Mechanical,CRAH chilled-water supply temperature,Confirm CHW supply temperature of 18 degC for the N+1 CRAH selection.,SUB-0712,Answered,Nil,0
RFI-EL-110,2026-05-20,Electrical,DRUPS short-circuit withstand coordination,Confirm fault level 50 kA for 1s at the 415V LV board for DRUPS/switchgear coordination.,SUB-0905 / SUB-0931,Open,TBC,0
RFI-EL-112,2026-05-22,Electrical,LV switchgear delivery vs critical path,Vendor indicates LV switchgear lead time slipping by ~6 weeks. Confirm impact on commissioning L4 milestone and any acceleration option.,SUB-0931 / Schedule DC1-04-EL-030,Open,Potential,28
RFI-CIV-066,2026-04-02,Civil/Structural,Construction joint location in raft,Propose construction joint location for the 1240 cum raft pour sequencing.,BOQ 2.04,Answered,Nil,0
RFI-FIRE-020,2026-05-26,Fire,Fire-stopping rating at busway penetrations,Confirm 2-hour fire-stopping rating at busway floor penetrations.,SUB-0120 / SUB-0140,Open,Nil,0
RFI-ARC-035,2026-05-09,Architecture,Roof cladding fastener pull-out for cyclonic wind,Confirm fastener pull-out capacity adequate for 50 m/s cyclonic design wind speed.,SUB-0301 / IS875 5.3,Answered,Nil,0
RFI-MEP-095,2026-05-30,Mechanical,Hot-aisle containment clearance to sprinklers,Confirm minimum clearance from hot-aisle containment roof to sprinkler heads.,White-space layout,Open,Nil,0
